smiles0,smiles1,charge0,charge1,natoms0,natoms1,system_id,group_orig,group_id,k_index,geom_id,cc_basis,cc_HF,cc_MP2_os,cc_MP2_ss,cc_CCSD_os,cc_CCSD_ss,cc_(T),cc_[T],cc_MP2_all,cc_CCSD(T)_all,cc_delta_CCSD(T),qz_HF,qz_MP2_os,qz_MP2_ss,qz_MP2_all,tz_HF,tz_MP2_os,tz_MP2_ss,tz_MP2_all,cbs_MP2_os,cbs_MP2_ss,cbs_MP2_all,cbs_CCSD(T)_all,espx_HF_es,espx_HF_hl,espx_HF_ovl,espx_MP2_es,espx_MP2_ovl,sapt_es,sapt_ex,sapt_exs2,sapt_ind,sapt_exind,sapt_disp,sapt_exdisp_os,sapt_exdisp_ss,sapt_delta_HF,sapt_all,nn_CCSD(T)_all,nn_CCSD(T)_all_05,nn_CCSD(T)_all_95,xyz,elements,elements_lists
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-8,9886444,avdz,44.81285,-11.9226,-11.42281,-7.4518,-8.78957,-2.70506,-2.76759,21.46743,25.86643,4.399,44.41963,-14.341,-12.60478,17.47386,44.44546,-13.76419,-12.42267,18.2586,-14.76191,-12.73768,16.92005,21.31905,-30.99295,54.41179,0.58917,-31.2639,0.57931,-31.02235,82.89962,79.74302,-25.81029,24.3775,-34.61126,2.80077,4.04403,-6.40749,16.27053,20.91109,19.74752,21.73669,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 1.40472 1.78154 0.41571 0.86901 0.99269 1.43444 0.04024 1.56701 2.399 -0.25281 2.93019 2.34484 0.2829 3.71905 1.32612 1.11167 3.14473 0.36155 2.05686 1.32962 -0.34328 1.09961 -0.07998 1.47705 -0.3813 0.94627 3.20061 -0.90495 3.38212 3.10384 0.05231 4.79172 1.2835 1.53321 3.76546 -0.44006,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-7,9886452,avdz,33.97955,-10.34928,-9.93635,-6.48311,-7.69971,-2.37561,-2.4272,13.69392,17.42112,3.72721,33.66525,-12.31557,-10.91005,10.43962,33.68129,-11.8486,-10.76061,11.07208,-12.65634,-11.01911,9.98981,13.71701,-23.63709,41.09648,0.47087,-23.90855,0.46413,-23.62488,63.14385,61.19605,-18.53299,17.88439,-29.26308,2.24733,3.25779,-5.56581,9.54661,13.51142,12.47462,14.24802,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 1.3144 1.77111 0.37407 0.77869 0.98226 1.3928 -0.05007 1.55658 2.35736 -0.34313 2.91976 2.3032 0.19259 3.70862 1.28448 1.02135 3.13429 0.31991 1.96654 1.31919 -0.38492 1.00929 -0.09041 1.43541 -0.47162 0.93584 3.15897 -0.99527 3.37169 3.0622 -0.03801 4.78129 1.24186 1.4429 3.75503 -0.4817,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-6,9886461,avdz,25.66397,-8.9828,-8.64373,-5.63697,-6.74411,-2.08848,-2.13135,8.03745,11.19442,3.15697,25.41269,-10.57454,-9.44308,5.39507,25.4232,-10.19759,-9.32063,5.90498,-10.84962,-9.53243,5.03065,8.18762,-17.97419,30.94456,0.37488,-18.23436,0.37059,-17.9412,47.8999,46.70924,-13.26728,13.01253,-24.75667,1.78992,2.60595,-4.62868,4.71447,7.94877,7.15708,8.61363,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 1.22409 1.76068 0.33243 0.68837 0.97182 1.35116 -0.14039 1.54615 2.31572 -0.43344 2.90933 2.26156 0.10227 3.69819 1.24284 0.93103 3.12386 0.27827 1.87623 1.30876 -0.42656 0.91897 -0.10084 1.39377 -0.56194 0.92541 3.11733 -1.08559 3.36126 3.02056 -0.12833 4.77085 1.20022 1.35258 3.7446 -0.52334,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-5,9886470,avdz,19.305,-7.79685,-7.51969,-4.89904,-5.90576,-1.83733,-1.87318,3.98845,6.66287,2.67441,19.10579,-9.08005,-8.17397,1.85177,19.11354,-8.77653,-8.07372,2.26329,-9.30155,-8.24712,1.55712,4.23153,-13.63195,23.22827,0.29735,-13.87311,0.29492,-13.59163,36.19092,35.4697,-9.47565,9.39776,-20.96256,1.41567,2.07198,-3.72997,1.31652,4.12731,3.346,4.90678,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 1.13377 1.75025 0.29079 0.59805 0.96139 1.30952 -0.23071 1.53572 2.27408 -0.52376 2.8989 2.21992 0.01195 3.68776 1.2012 0.84071 3.11343 0.23663 1.78591 1.29833 -0.4682 0.82865 -0.11127 1.35213 -0.65225 0.91498 3.07569 -1.1759 3.35083 2.97892 -0.21865 4.76042 1.15858 1.26226 3.73417 -0.56498,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-4,9886480,avdz,14.45992,-6.7682,-6.54243,-4.25622,-5.17021,-1.61702,-1.64718,1.14929,3.41647,2.26718,14.30481,-7.79865,-7.07666,-0.57051,14.31128,-7.55482,-6.99466,-0.2382,-7.97659,-7.1365,-0.80828,1.4589,-10.31456,17.38107,0.235,-10.53237,0.23394,-10.2748,27.23692,26.80399,-6.75388,6.73888,-17.76951,1.11234,1.63914,-2.93473,-1.00564,1.51818,0.82708,1.9772,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 1.04345 1.73982 0.24916 0.50774 0.95096 1.26788 -0.32103 1.52529 2.23244 -0.61408 2.88847 2.17828 -0.07837 3.67732 1.15956 0.7504 3.103 0.19499 1.69559 1.28789 -0.50984 0.73833 -0.1217 1.31049 -0.74257 0.90454 3.03405 -1.26622 3.34039 2.93728 -0.30897 4.74999 1.11694 1.17194 3.72374 -0.60662,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-3,9886489,avdz,10.78172,-5.87641,-5.69309,-3.69676,-4.52506,-1.42337,-1.44886,-0.78778,1.13654,1.92432,10.66419,-6.701,-6.12845,-2.16527,10.66999,-6.50555,-6.06145,-1.89702,-6.84363,-6.17735,-2.35679,-0.43247,-7.7889,12.96366,0.18507,-7.98136,0.185,-7.7535,20.4191,20.16157,-4.80401,4.79708,-15.08254,0.86862,1.29136,-2.26654,-2.53045,-0.4278,-1.01802,-0.11405,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 0.95313 1.72939 0.20752 0.41742 0.94053 1.22624 -0.41135 1.51485 2.1908 -0.7044 2.87804 2.13664 -0.16869 3.66689 1.11792 0.66008 3.09257 0.15335 1.60527 1.27746 -0.55148 0.64802 -0.13214 1.26885 -0.83289 0.89411 2.99241 -1.35654 3.32996 2.89564 -0.39928 4.73956 1.0753 1.08162 3.71331 -0.64826,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-2,9886495,avdz,7.99979,-5.10358,-4.95527,-3.21023,-3.95956,-1.2529,-1.27455,-2.05906,-0.42289,1.63617,7.91389,-5.7614,-5.30954,-3.15705,7.91912,-5.60509,-5.25483,-2.9408,-5.87546,-5.34946,-3.31103,-1.67486,-5.87218,9.63648,0.14524,-6.039,0.14584,-5.84236,15.24951,15.09774,-3.40963,3.38844,-12.82094,0.67436,1.01396,-1.72578,-3.47244,-1.63499,-2.33669,-1.32678,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 0.86281 1.71896 0.16588 0.3271 0.9301 1.1846 -0.50166 1.50442 2.14916 -0.79472 2.8676 2.095 -0.259 3.65646 1.07628 0.56976 3.08214 0.11171 1.51495 1.26703 -0.59312 0.5577 -0.14257 1.22721 -0.92321 0.88368 2.95077 -1.44686 3.31953 2.854 -0.4896 4.72913 1.03366 0.99131 3.70288 -0.6899,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,-1,9886505,avdz,5.90404,-4.43406,-4.31467,-2.78743,-3.46428,-1.10273,-1.1212,-2.84469,-1.4504,1.39429,5.84395,-4.95749,-4.60263,-3.71616,5.84854,-4.83276,-4.55798,-3.5422,-5.04851,-4.6352,-3.83976,-2.44546,-4.42182,7.13811,0.1136,-4.56396,0.11464,-4.3974,11.34576,11.25719,-2.41483,2.37385,-10.91646,0.52067,0.79396,-1.30088,-3.99532,-2.33587,-2.61876,-2.07227,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 0.7725 1.70852 0.12424 0.23678 0.91967 1.14296 -0.59198 1.49399 2.10752 -0.88503 2.85717 2.05336 -0.34932 3.64603 1.03464 0.47944 3.07171 0.07007 1.42464 1.2566 -0.63476 0.46738 -0.153 1.18557 -1.01353 0.87325 2.90913 -1.53718 3.3091 2.81236 -0.57992 4.7187 0.99202 0.90099 3.69245 -0.73154,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,0,9886513,avdz,4.33176,-3.85416,-3.75877,-2.42025,-3.03092,-0.97039,-0.98622,-3.28117,-2.0898,1.19137,4.29192,-4.26984,-3.99262,-3.97054,4.29575,-4.17053,-3.95619,-3.83096,-4.34231,-4.0192,-4.06959,-2.87822,-3.32731,5.26782,0.08857,-3.44647,0.08985,-3.3075,8.40984,8.35868,-1.70756,1.64901,-9.3116,0.39991,0.62026,-0.97491,-4.22255,-2.77023,-3.02079,-2.54921,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 0.68218 1.69809 0.0826 0.14647 0.90924 1.10132 -0.6823 1.48356 2.06588 -0.97535 2.84674 2.01172 -0.43964 3.6356 0.993 0.38912 3.06128 0.02844 1.33432 1.24617 -0.6764 0.37706 -0.16343 1.14393 -1.10384 0.86282 2.86749 -1.62749 3.29867 2.77072 -0.67024 4.70827 0.95038 0.81067 3.68202 -0.77318,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
CC(C)C,c1ccccc1,0,0,14,12,13981,370K,394922,1,9886522,avdz,3.15729,-3.35198,-3.27655,-2.10156,-2.6521,-0.85378,-0.8674,-3.47124,-2.45014,1.0211,3.13263,-3.68168,-3.46637,-4.01541,3.13567,-3.60277,-3.43662,-3.90372,-3.73926,-3.48808,-4.0947,-3.0736,-2.50338,3.87203,0.06883,-2.60171,0.07023,-2.48733,6.21071,6.18148,-1.207,1.13594,-7.95805,0.30562,0.48356,-0.72967,-4.24622,-2.97306,-3.24343,-2.76833,3.51354 3.63949 1.76997 2.72138 2.80546 2.77656 3.27171 1.38128 2.84868 2.74248 3.46239 4.15654 4.56644 3.70484 2.09205 3.10282 4.66082 1.70058 3.47991 3.17801 0.76872 1.66835 2.75388 2.43252 4.32042 1.40751 3.18944 2.68641 0.77232 3.55805 3.2358 0.89851 1.85759 2.3245 4.48205 4.10965 2.15219 2.87304 4.87824 3.78202 3.52466 4.51996 0.59186 1.68766 0.04096 0.05615 0.89881 1.05968 -0.77262 1.47313 2.02424 -1.06567 2.83631 1.97008 -0.52996 3.62517 0.95136 0.29881 3.05084 -0.0132 1.244 1.23574 -0.71804 0.28675 -0.17386 1.10229 -1.19416 0.85239 2.82585 -1.71781 3.28824 2.72908 -0.76055 4.69784 0.90874 0.72035 3.67158 -0.81482,C C C C H H H H H H H H H H C C C C C C H H H H H H,"['C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']"
